run time in ms,sample size,beta,eta,ar,ap
4924,10,1.51488,1.40892,0.78156,0.651219
1577,10,3.27262,2.76041,0.856833,0.284486
1279,10,4.47079,1.85673,0.332165,0.935762
1823,10,2.72428,1.28525,0.453179,0.726991
2173,10,5.53937,1.63669,0.319838,0.248856
2073,10,3.86327,1.67627,0.906788,0.202057
1446,10,3.54426,1.52422,0.650775,0.29145
645,10,0.993299,0.328863,0.120466,0.434828
616,10,3.16765,2.00463,0.827957,0.96755
897,10,2.3514,2.42826,0.0342079,0.799247
8203,100,2.44494,1.11587,0.694305,0.646607
3205,100,1.89369,0.708574,0.754163,0.519863
4837,100,2.27041,1.07007,0.0987043,0.968136
2062,100,1.94056,0.559096,0.150805,0.513861
5121,100,1.81422,0.65604,0.516676,0.83075
2796,100,2.04109,0.601068,0.593669,0.420537
2390,100,2.24524,1.04043,0.355366,0.759307
5223,100,1.76981,0.636679,0.922095,0.703803
2133,100,2.02886,1.02321,0.247932,0.878918
1774,100,2.84526,1.48491,0.716715,0.552644
11569,1000,2.49041,1.25533,0.479052,0.790715
8843,1000,2.04488,0.711399,0.490929,0.530253
9218,1000,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
11007,1000,2.52,1.07855,0.173534,0.996425
9759,1000,2.65519,1.42289,0.661441,0.808403
10219,1000,2.21113,0.924845,0.520415,0.665716
9511,1000,2.67213,1.18535,0.1675,0.856031
10538,1000,2.50892,1.10109,0.333857,0.834333
8354,1000,2.56864,1.02292,0.322976,0.697708
8814,1000,1.94287,0.734742,0.266604,0.858486
71610,10000,2.4072,1.02466,0.438822,0.74724
74921,10000,2.52339,1.12039,0.454591,0.714144
77382,10000,2.23337,1.03518,0.491931,0.873004
79688,10000,2.24316,1.00308,0.55865,0.744288
80797,10000,2.28306,1.03649,0.500333,0.731674
84347,10000,2.32095,0.985396,0.440675,0.703459
67761,10000,2.37306,1.03349,0.415972,0.751825
78248,10000,2.29084,1.01271,0.573134,0.697125
93466,10000,2.2802,1.00674,0.47305,0.739045
96463,10000,2.47171,1.0406,0.371841,0.751696
705545,100000,2.31208,0.999832,0.473065,0.715724
688151,100000,2.37175,1.04222,0.478167,0.727428
688778,100000,2.37031,1.04793,0.437081,0.776814
658809,100000,2.30021,0.998674,0.489659,0.716638
672054,100000,2.35494,1.02687,0.463782,0.728051
653131,100000,2.31408,0.980423,0.447639,0.717519
732591,100000,2.37844,1.0423,0.454477,0.761784
791867,100000,2.35216,1.04972,0.481778,0.764949
716093,100000,2.33155,1.03086,0.492868,0.716487
731977,100000,2.35751,1.02864,0.465301,0.729991
7107067,1000000,2.3405,1.03219,0.475014,0.744444
7035883,1000000,2.33992,1.02921,0.466985,0.753153
7162340,1000000,2.34843,1.04096,0.478169,0.746825
7097122,1000000,2.34925,1.03693,0.476329,0.756334
6768309,1000000,2.35553,1.02829,0.461835,0.749382
7030325,1000000,2.32471,1.01439,0.472697,0.742154
6890200,1000000,2.34945,1.03089,0.461659,0.7573
6783399,1000000,2.33218,1.02497,0.466514,0.747088
7249567,1000000,2.33845,1.03322,0.472338,0.755047
7111505,1000000,2.36258,1.03672,0.460325,0.745094
71502520,10000000,2.3504,1.03105,0.468036,0.747389
68380723,10000000,2.34574,1.03196,0.469032,0.747876
67353775,10000000,2.35046,1.03101,0.460765,0.750798
67627949,10000000,2.34516,1.02942,0.465689,0.749471
67033813,10000000,2.35233,1.03461,0.464992,0.753348
67773563,10000000,2.348,1.02991,0.466951,0.747022
65295958,10000000,2.35153,1.03423,0.463613,0.753774
63817684,10000000,2.35403,1.03494,0.460221,0.752622
62134194,10000000,2.35127,1.03418,0.469708,0.747701
62183907,10000000,2.34645,1.02972,0.464364,0.74991
