raw_csv
parallel,run time in ms,sample size,beta,eta,ar,ap
0,644,10,1.89445,0.481702,0.370091,0.841472
1,4182,10,4.14237,1.99601,0.414049,0.707653
0,601,10,0.916894,1.17505,0.490556,0.317006
1,1284,10,2.81205,1.38271,0.698993,0.796191
0,574,10,4.67636,1.98099,0.46533,0.528901
1,1681,10,2.76846,1.23326,0.798652,0.870863
0,925,10,2.45276,0.578028,0.00884993,0.16519
1,1762,10,4.42251,1.09917,0.0627938,0.708745
0,958,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1,584,10,6.07141,0.903134,0.231665,0.0855196
0,897,10,2.6802,0.743287,0.604295,0.125658
1,1627,10,5.1316,2.02111,0.354495,0.391501
0,985,10,3.79017,0.759918,0.048282,0.271047
1,678,10,3.77887,2.59677,0.666563,0.563835
0,1146,10,3.53537,1.28137,0.18389,0.810104
1,721,10,3.55026,2.308,0.740295,0.426997
0,1101,10,1.94194,0.865013,0.706264,0.527465
1,1870,10,1.34164,0.909263,0.862398,0.0878673
0,999,10,0.955817,0.177179,0.934337,0.506034
1,678,10,2.0802,0.592531,0.464007,0.618743
0,1031,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1,776,10,4.07738,2.26113,0.54316,0.992044
0,1053,10,2.81705,1.5516,0.769969,0.52503
1,640,10,4.28012,1.18318,0.270856,0.487895
0,970,10,2.79844,1.95512,0.928477,0.405458
1,613,10,3.88409,1.57748,0.271356,0.819895
0,1003,10,5.56888,1.07823,0.270293,0.0797515
1,564,10,1.60097,0.657822,0.115346,0.373228
0,1059,10,2.15818,0.520736,0.375434,0.582376
1,541,10,3.25052,2.08721,0.501386,0.874277
0,1009,10,0.682491,0.051199,0.261965,0.0383033
1,491,10,2.58325,2.09253,0.668736,0.908678
0,945,10,3.86502,1.95387,0.547078,0.599554
1,558,10,1.94961,0.553121,0.0473471,0.252234
0,1018,10,2.84009,1.35616,0.749513,0.401456
1,543,10,2.32876,0.772491,0.489451,0.654033
0,1024,10,1.53128,0.815643,0.36334,0.111719
1,602,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0,1031,10,3.22864,1.79374,0.588899,0.800474
